検査結果の判明日,PCR検査陽性者数,抗原検査陽性者数,PCR検査陰性者数,抗原検査陰性者数
"2020-09-03",169,15,4620,597
"2020-09-04",128,16,4870,638
"2020-09-05",95,17,3082,481
"2020-09-06",55,13,956,256
"2020-09-07",147,29,4240,879
"2020-09-08",191,18,4401,765
"2020-09-09",159,19,4831,701
"2020-09-10",146,23,4186,700
"2020-09-11",211,19,4716,633
"2020-09-12",122,8,2752,413
"2020-09-13",49,9,1049,241
"2020-09-14",130,29,4175,818
"2020-09-15",159,10,4694,597
"2020-09-16",180,14,4173,611
"2020-09-17",181,17,3865,618
"2020-09-18",164,25,4773,681
"2020-09-19",125,30,2910,621
"2020-09-20",46,10,991,311
"2020-09-21",54,13,1430,393
"2020-09-22",40,15,1301,371
"2020-09-23",229,21,5163,863
"2020-09-24",208,17,4527,658
"2020-09-25",186,24,4561,613
"2020-09-26",95,5,2572,424
"2020-09-27",53,8,849,227
"2020-09-28",138,30,4648,776
"2020-09-29",174,13,4336,643
"2020-09-30",124,14,2951,507
